League	Score	UserID	AgentID	Lang	Pseudo	#challenge,count=1880,time=2020-04-09 00:48:12
4	23.04	1635357	2766928	Python3	GiB	
4	23.01	2970414	2749556	Python3	Fangel	
4	22.85	3706812	2760269	C++	ameler	
4	22.55	2736326	2748829	C++	Clemixid	
4	22.51	1798477	2759055	C#	mnivet	
4	22.46	2007852	2760625	Go	Zorg1	
4	22.2	335954	2766201	Java	nmahoude	
4	22.19	186179	2763066	C++	Nagrarok	
4	22.15	1824376	2748858	Python3	Kodle	
4	22.11	3424888	2748838	C++	Hamibar	
4	22.1	3691992	2760812	C++	friska	
4	22.06	3621136	2764162	Python3	MichaelPu	
4	22.03	869199	2761374	Python3	oixc	
4	21.97	3533314	2763858	C#	skotz	
4	21.87	3751175	2765100	C++	DamianS	
4	21.84	2924895	2766503	C	trictrac	
4	21.78	2931102	2748854	C#	navot	
4	21.63	300142	2755900	C++	oyefremov	
4	21.53	1487392	2765452	Java	Razielwar	
4	21.51	1759335	2765272	C#	metahom	
4	21.49	2646370	2748786	Java	DenShlk	
4	21.48	1481544	2755495	C++	ZarthaxX	
4	21.45	2416641	2766569	C#	Zenoscave	
4	21.43	1854246	2756668	C++	Counterbalance	
4	21.42	3065352	2765568	C++	Arti1990	
4	21.4	3744734	2748852	Java	FormatException	
4	21.39	1816783	2766756	C#	NightLuna	
4	21.37	1894859	2748853	Python3	Vidra	
4	21.34	1464115	2764291	Javascript	GabrielDCelery	
4	21.33	2600493	2766811	Java	SuperNit	
4	21.3	3443015	2765907	C++	Wozniak	
4	21.27	1685694	2755255	C++	tashikani	
4	21.25	416762	2759085	TypeScript	Khao	
4	21.24	865273	2766911	Java	DEIZ21	
4	21.11	2686778	2748787	C++	AKEE	
4	21.06	512097	2764183	Haskell	Stilgart	
4	21.02	1227148	2748843	Java	Schneewittchen	
4	20.91	3744758	2759548	Python3	Mateuszrze	
4	20.74	3467363	2749424	Java	Javatacos	
4	20.68	1483234	2766592	C#	jbl	
4	20.64	2450542	2762417	C++	MindControler	
4	20.63	1366661	2748822	Java	YoBo	
4	20.62	802171	2751857	PHP	Merome	
4	20.54	829018	2756273	C++	alchemsti	
4	20.54	392992	2760729	Java	tangostar	
4	20.46	1584802	2748827	C#	emh	
4	20.4	3750962	2763863	C++	Jeroenodb	
4	20.39	1144135	2765969	Go	Kh4z	
4	20.38	909153	2750719	Go	Coac	
4	20.37	614215	2748846	Java	Jo	
4	20.36	3382273	2754534	Python3	hasl3r	
4	20.36	2725239	2761425	C#	Zandy156	
4	20.32	1050490	2755737	C#	Snark_Chaser	
4	20.31	2115491	2748841	Go	Haashi	
4	20.29	2907009	2764720	C#	Arnaud.Net	
4	20.2	2522090	2760177	C++	MSmits	
4	20.16	1415495	2761734	C	fenrir	
4	19.99	3457031	2766761	C++	YurkovAS	
4	19.95	1477355	2765417	C++	Ysoft	
4	19.88	928567	2757838	C++	Konstanta	
4	19.85	3745995	2766637	Python3	MicGor	
4	19.74	517890	2756068	Python3	Altaire	
4	19.71	3738782	2765638	C#	Inaniwa	
4	19.68	3353481	2758914	C++	takumi152	
4	19.68	886483	2766926	C	R4N4R4M4	
4	19.64	1282856	2766852	Javascript	ErikBrendel	
4	19.58	2577929	2750225	Python3	Drazyen	
4	19.45	1018895	2748808	C++	Filou	
4	19.42	739151	2750197	C++	Romka	
4	19.36	788361	2764322	C++	Bob	
4	19.32	2881783	2765923	C++	eki	
4	19.28	2786666	2763082	C++	TetraktysPhi	
4	19.26	833077	2751785	Java	tsukammo	
4	19.2	3165536	2764839	C++	barbora	
4	19.18	868898	2753340	Python3	LH	
4	19.09	1238934	2765000	C++	accorp	
4	19.02	3235897	2761839	Java	Zylo	
4	18.95	1180953	2761492	Javascript	Dammmien	
4	18.9	523846	2762271	C#	Palmipedus	
4	18.86	3424013	2749267	Python3	Felici3n	
