League	Score	UserID	AgentID	Lang	Pseudo	#challenge,count=4303,time=2020-11-14 00:47:06
2	48.97	3244527	3199106	C++	Piols	
2	48.96	3791366	3197777	Python3	Artygo8	
2	48.89	3754066	3196475	Haskell	jast.e.new.name	
2	48.87	1481693	3194197	C#	KAIn	
2	48.75	917370	3199027	C++	Gwi	
2	48.75	2720216	3198418	C++	ilgiocatore	
2	48.66	3870977	3195696	C++	Athor-Henning	
2	48.51	1815235	3194904	C#	Maliamnon	
2	48.47	238640	3195960	C#	saadliig	
2	48.36	910613	3195543	C++	morozec	
2	48.35	335335	3190346	Kotlin	Eldritch	
2	48.34	311035	3197053	Python3	leojean890	
2	48.22	1305661	3194312	Python3	hunguyen	
2	48.18	1251954	3195863	Javascript	BSimo	
2	48.15	1152991	3189608	C#	xoposhiy	
2	48.11	648751	3198411	Haskell	dabino	
2	48.1	2463909	3195638	Kotlin	ckobayashi	
2	48.08	354788	3188046	C++	Lexer31	
2	48.06	4052198	3194922	Python3	naniwazu	
2	48.01	3325199	3192565	C#	sirnichou	
2	47.99	337327	3194148	Python3	Mathurin	
2	47.99	3363216	3198626	C++	SigmaT4	
2	47.92	4057997	3190397	Python3	Thienu	
2	47.91	1201796	3198854	Python3	P.Greze	
2	47.87	2924895	3196651	C	trictrac	
2	47.81	4039704	3197936	Java	ChoMiyeon	
2	47.72	3846923	3196957	Kotlin	Hildan	
2	47.67	3386699	3188082	C++	Shibuyap	
2	47.52	586565	3192857	C#	Dedoo	
2	47.52	712849	3198466	Java	Tabea	
2	47.44	1818159	3193679	C++	JRFerguson	
2	47.39	3089131	3194694	Python3	dragonsayen	
2	47.37	2591714	3198718	Python3	Yamabushi	
2	47.35	828239	3197247	C#	[SG]Bisou	
2	47.29	3817179	3198800	C#	MAPATKO	
2	47.26	492970	3197289	Python3	Kromak	
2	47.25	4056249	3195060	C++	MarWarPL	
2	47.19	3756199	3198573	C++	KnightMoves	
2	47.15	3816933	3194022	C++	untan	
2	47.15	1218749	3193887	Dart	dauom	
2	47.08	3794725	3195246	Python3	Qoo	
2	46.94	1304841	3196632	C++	NitMpez	
2	46.92	1848459	3196971	Kotlin	Velcoro	
2	46.91	1791926	3195036	C++	Saoi_	
2	46.83	1436776	3198864	C++	BrainSolver	
2	46.82	154388	3198129	Rust	PonyPonyCodeCode	
2	46.82	3452059	3198643	Java	_Vincent_	
2	46.81	347029	3196434	Python3	Kevapo	
2	46.8	1630890	3194916	Java	Wld	
2	46.75	1792532	3197826	C#	Zanbez	
2	46.67	3180290	3193080	Python3	ilyascapitano	
2	46.6	4053912	3199074	Java	Rikerslash	
2	46.59	3958314	3194077	PHP	NicoDeug	
2	46.56	3615203	3198469	TypeScript	sayelr	
2	46.45	2837700	3198277	C++	jgambard	
2	46.45	2631438	3192807	Python3	Lartifroid	
2	46.43	1178006	3191109	Java	Maethorn	
