League	Score	UserID	AgentID	Lang	Pseudo	#challenge,count=4110,time=2020-05-12 21:43:49
3	22.11	406377	2913139	Javascript	stephdz	
3	22.07	335954	2914047	Java	nmahoude	
3	22.07	3305510	2907809	PHP	TBali	
3	22.05	862336	2909260	C++	Zaphus	
3	22.01	1798477	2904843	C#	mnivet	
3	21.99	3273528	2914373	C++	RavenKZP	
3	21.99	817075	2914036	C++	GameRaccoon	
3	21.98	3285724	2909980	Java	Syp	
3	21.97	155774	2902298	C++	dwarfie	
3	21.97	3769834	2914474	C#	Hoggins	
3	21.96	2065521	2914758	Java	igolus	
3	21.96	1081827	2910046	Python3	MathisHammel	
3	21.9	1601217	2910850	C++	Heide	
3	21.89	1783604	2909999	C	Vry	
3	21.89	3123981	2901538	C#	AAAAnt	
3	21.88	567777	2909994	Java	GTS	
3	21.87	218189	2911672	Python3	[CG]Maxime	
3	21.86	1543177	2909721	Python3	Xoff	
3	21.82	1178251	2910018	Java	Briag	
3	21.82	233834	2909480	C++	Herumor	
3	21.82	2333083	2911722	Python3	Febrin	
3	21.81	3025846	2914325	C++	JeremyCodes	
3	21.79	1316319	2907123	C++	Neabfi	
3	21.78	1596613	2911207	C++	WhiteCrow	
3	21.75	2310861	2901256	Python3	Ilovepie	
3	21.74	3629227	2913994	Python3	frog_alpha	
3	21.72	3041715	2908486	Java	hlin	
3	21.71	3657204	2914662	Python3	mdaraujo	
3	21.7	1407104	2901156	Python3	Maun	
3	21.69	990110	2913401	C++	Rogerup	
3	21.69	3803789	2901309	Java	jeffreyxiao	
3	21.67	1792532	2914361	C#	Zanbez	
3	21.65	3518133	2912697	Java	GaetR	
3	21.64	1751199	2901328	C#	michac	
3	21.64	505511	2914639	Java	int33h	
3	21.6	2112007	2910481	Javascript	KRAKEN	
3	21.58	3264049	2910409	Java	Pierrot_fr	
3	21.57	2643167	2911119	Python3	taleboy	
3	21.57	1360513	2912393	C++	AshKetchum	
3	21.5	2463909	2912520	Kotlin	ckobayashi	
3	21.47	900403	2913761	C++	0xC0FFEE	
3	21.43	1632368	2909259	C++	olphe	
3	21.41	940262	2901185	Python3	f	
3	21.39	2369996	2914746	C++	programjames	
3	21.39	788361	2913679	C++	Bob	
3	21.36	153119	2911699	Python3	loick	
3	21.35	3811097	2913789	Python3	piafou	
3	21.28	817357	2901190	C++	Ouxor	
3	21.28	3622757	2911937	Python3	anid	
3	21.25	3803288	2905021	Ruby	ugnpaul	
3	21.23	2592367	2905848	C#	Jokero	
3	21.23	301922	2904523	Scala	tyrcho	
3	21.21	3792030	2902639	Python3	Snow.	
3	21.17	3397479	2901775	C#	XorZy	
3	21.17	3722197	2914459	Python3	La_Dig	
3	21.15	3245236	2901872	Java	gumast	
3	21.15	844592	2904925	C#	Marimout	
3	21.14	914013	2903445	Python3	HexTree	
3	21.14	3278216	2914650	C++	MagicMage	
3	21.13	342048	2901455	Javascript	fixme	
3	21.13	1599495	2914230	C#	Blue_	
3	21.09	2691150	2913967	PHP	Tri_17	
3	21.08	3069951	2906687	C++	phocom	
3	21.08	3561478	2908441	Java	TJSteel	
3	21.04	1464115	2901437	Javascript	GabrielDCelery	
3	21.02	849746	2910034	Python3	lmj	
3	21.01	1818159	2905764	C++	JRFerguson	
3	21	2142961	2913126	C++	masterpoo	
3	20.96	2056541	2910716	Java	PeF	
3	20.93	616735	2913645	Python3	Kodama	
3	20.93	3467363	2907020	Java	Javatacos	
3	20.89	1735693	2914442	Kotlin	superbob	
3	20.88	2281780	2907840	C#	NapTown	
3	20.88	1400471	2901536	C#	RaymondTsang	
3	20.87	3763788	2910495	Python3	_SpiderX	
3	20.86	3419066	2905651	Python3	xR3m1x	
3	20.85	1938906	2912415	C++	krauch	
3	20.83	232528	2906654	C++	cegprakash	
3	20.83	1391220	2901836	PHP	mesavitae	
3	20.83	3765105	2914229	Python3	LAIN	
3	20.82	3806519	2914004	Python3	ijc90	
3	20.8	3553687	2901371	Java	ChrisJM	
3	20.8	3396733	2914121	TypeScript	Bas_999_S	
3	20.78	1466587	2914628	C++	ionutzxy	
3	20.78	2907009	2904386	C#	Arnaud.Net	
3	20.78	2781726	2914005	Java	June1664	
3	20.75	3799694	2907058	Python3	o_imej	
3	20.73	734401	2902304	C++	b0n5a1	
3	20.73	3210271	2911450	Java	renoy	
3	20.73	629371	2913618	C#	BALEK	
3	20.69	3324192	2901486	Python3	Spongebobcarre	
3	20.69	440476	2914321	C++	yowa	
3	20.65	3796942	2902470	Java	Versicolor	
3	20.64	1020626	2906229	C#	PiterYeh	
3	20.63	3164421	2901907	Javascript	gbiebuyc	
3	20.63	3785975	2906819	C++	Agusanso	
3	20.55	2675308	2910922	Javascript	vkochev	
3	20.52	3411072	2914338	C++	summer000	
3	20.52	3770928	2913133	C++	ku-haku	
3	20.49	971740	2908862	Javascript	YX11	
3	20.47	3803510	2913992	Java	ryanhendry	
3	20.46	1742604	2906624	Python3	TonoX	
3	20.43	1891913	2902486	Kotlin	fal_rnd	
3	20.41	3795745	2911175	Javascript	IkiTadashi	
3	20.38	1714054	2914605	C++	Marau	
3	20.38	1610677	2904377	Javascript	Toeler	
3	20.37	1287344	2913529	Python3	Alshock	
3	20.33	3230794	2909840	Java	tutubalin	
3	20.33	1494401	2910612	Javascript	Fatalist	
3	20.28	3808031	2912411	Ruby	_proton	
3	20.15	3802430	2913429	Java	Andronnix	
3	20.13	3791463	2909899	Java	Thibaal	
3	20.11	3496883	2912609	Java	AugustoMauch	
3	20.11	3523406	2914022	Java	Pansier	
3	20.1	1147815	2905890	C++	Tashiqi	
3	20.1	1673512	2908517	C++	Ryoken	
3	20.1	1684030	2913050	Kotlin	Mator	
3	20.09	186179	2911733	C++	Nagrarok	
3	20.08	1883183	2906575	Python3	aenigma	
3	20.07	2341005	2902842	C#	Crispy23	
3	20.06	1103945	2913794	Python3	ssda	
3	20.05	3783481	2911151	C#	Yatech	
3	20.04	3026370	2907814	Python3	Bernard_Lowe	
3	20.02	2729055	2906884	Python3	twray2	
3	20.01	396780	2901367	Python3	CoolKiller	
3	20	3767556	2911503	Python3	Nlecaill	
3	20	544810	2909728	Python3	Bonzai	
3	19.98	3628256	2911767	Java	dragonfly1	
3	19.97	3582302	2904037	C++	sullyper	
3	19.97	1000778	2902393	C	Aishuu	
3	19.94	1583095	2908627	C#	Instafluff	
3	19.93	1566335	2914604	Python3	BeardedWhale	
3	19.9	3686887	2914570	Python3	R1FA	
3	19.88	3807164	2910657	Swift	Pipiks	
3	19.84	1860283	2901682	Python3	KouZouMan	
3	19.81	1526000	2904354	Swift	dimabespalov	
3	19.78	897547	2905647	C#	Layfown	
3	19.77	994344	2902267	Java	Momopouccino	
3	19.74	2668167	2903375	C#	NotSoRandom	
3	19.73	3742936	2914632	Python3	David26	
3	19.73	1368852	2907090	Javascript	raysplaceinspace	
3	19.7	1306541	2912359	C++	Steuh	
3	19.68	3798493	2906955	PHP	ASFernandes	
3	19.67	3535352	2912424	Python3	ElGranV	
3	19.65	504985	2913218	Java	Ster	
3	19.64	2316796	2908436	PHP	Psio	
3	19.63	2443365	2914663	Javascript	Lulemair	
3	19.62	3781236	2901912	Java	Unkya	
3	19.62	2993705	2908912	C++	Alf802	
3	19.61	3539261	2905187	Python3	BillWyeman	
3	19.58	1484284	2905278	C#	Cappefra	
3	19.57	3729666	2913499	Ruby	pde-bakk	
3	19.57	1399382	2901720	C#	Regulus136	
3	19.56	870667	2914802	Python3	Azamoglan	
3	19.54	3793291	2914510	Python3	ioqt_00	
3	19.51	1940223	2908362	PHP	Eglerion	
3	19.49	272329	2913684	Python3	Arglanir	
3	19.47	512097	2905740	C++	Stilgart	
3	19.44	2709409	2912230	Python3	YesYes	
3	19.41	2081550	2914262	Java	muy31	
