Score	UserID	Lang	Pseudo	#optim,count=2659,time=2020-05-18 02:04:51
2089	939543	C#	[Peter]	
2089	1843142	C++	MichaelSavaglia	
2088	420035	Pascal	bvs23bkv33	
2087	1368530	C#	Hassenplug	
2086	3371555	C++	JoshuaH	
2083	1737246	Python3	Adam798	
2081	1433006	Java	FDPettersson	
2080	1506280	C++	TwoLate	
2080	3463375	C++	Anay	
2079	452641	Ruby	masakt	
2078	1635357	Python3	GiB	
2077	780361	C++	BrutalCommiterInSpace	
2077	3594992	Python3	Babapt	
2075	1111280	C#	CarlWalsh	
2075	855492	Go	Erk	
2075	331880	Javascript	Monstruo	
2074	2221648	Python3	Slayer-X	
2073	2310201	C++	Seoras	
2073	3424013	Python3	Felici3n	
2072	2889769	C++	GauravNanda	
2069	936078	C++	foolproof	
2062	1273475	C	Charles-Elie.Taupin	
2062	2526322	Java	fhemsworth	
2062	3325379	C#	heatex	
2061	1349553	Java	[CGI]_Grumpy-Tech	
2059	1608197	Perl	Luun	
2059	1522873	C	ZHUXiang	
2059	2176877	C++	pasymows	
2057	1736419	Java	Odinfr	
2057	1342745	C++	Catiminie	
2055	2924895	C	trictrac	
2054	964290	Javascript	madcap99	
2053	3657937	Python3	elderlybeginner	
2052	1437105	PHP	SergMers	
2051	922379	C++	mr_max333	
2050	607150	Java	Frisky	
2047	2331589	C#	miaugust	
2046	918913	C++	GreatTux	
2046	2876934	C++	Bgd	
2044	1752047	C	RGBenfield	
2044	1879283	Python3	choi07	
2042	1347260	C++	scorpinoc	
2042	1065860	Python3	nitros12	
2040	984854	Javascript	DKurilo	
2038	984401	Javascript	TomHa	
2036	1195006	C++	neutrinum	
2033	2476681	C#	Jam2it	
2033	2786804	C++	Evilkeeper	
2033	3722889	C	Lafytt	
2030	1499190	C	Mr_Afroduck	
2030	1459470	C#	pretzlak	
2027	1374100	C#	IcEEyE	
2027	1540272	Python3	haitch	
2027	1684030	C	Mator	
2027	1675720	C++	AxFab	
2027	2877131	C++	ProgrammingDuck	
2027	3205156	C++	ChristosKar	
2024	1518780	Javascript	mZpX	
2023	1770695	Python3	Mawox	
2023	1673971	Python3	Lanken	
2023	709490	Java	Sinlepuissant	
2021	839539	Java	madCasper	
2020	3483749	C++	KarimAE	
2019	1039421	Python3	yohlane	
2018	1399508	Java	Basiel	
2018	1728288	C#	MOLP	
2016	863210	PHP	Atul22	
2016	2073946	Python3	6749856	
2016	950702	Python3	RedRacoon	
2015	2878433	C++	Jamoy1993	
2015	1113627	Javascript	sanyatuning	
2014	3674106	C++		
2013	1195084	Java	Shwarz	
2012	512232	C++	vince	
2012	3670666	C++		
2011	225811	Ruby	Inferno285	
2011	1043317	Go	_keb	
2011	1527062	Javascript	dst	
2011	3558602	C++		
2011	3558569	C++	KDavid	
2010	841085	C#	Risen	
2010	788361	C++	Bob	
2009	1846419	C	XavM	
2008	464971	C++	PsyGuy66	
2008	2479417	C++	Papa94	
2006	840322	Go	nullbus	
2006	2146324	PHP	Grumly	
2005	907714	Java	Janot	
2002	457232	C#	_Sickonce	
2002	1705176	Python3	Jabba_Hatt	
2000	1145203	Python3	Lemps	
2000	3555751	C++		
1999	1139615	Python3	Paflechat	
1997	399039	Java	psign	
1997	552776	Javascript	player_one	
1997	1353669	Python3	XAnimaX	
1996	1213898	Java	Gubbel	
1996	1425201	C#	JamesPun	
1996	3150349	C++	SylCyr	
1995	947530	C		
1994	1518504	Javascript	bohuss	
1992	1142942	C#	Aquamoth	
1992	1630341	C++		
1992	1836300	C++	Aaron_Smith	
1992	2694059	C++	AntonioAlmeida	
1991	880128	Java	hardzsi	
1991	1369177	Java	PernicN	
1991	1753424	Java	FilkinKuiv	
1991	1546047	Java		
1991	666934	Java	93	
1991	2006324	Java	SihardeOussama	
1991	2315411	Java	cejonio	
1991	2110342	Java	lchenay	
1991	2644772	Java	Airwaito	
1991	1390789	Java	Matthieu.L	
1991	3494828	C++		
1991	1478706	Java	The-Dude	
1991	2144450	Java	Instinct	
1991	3558064	Java	Rencho	
1991	3622757	Java	anid	
1991	3256978	Java	salogba	
1990	876163	C#	AY1111	
1989	2155687	Scala	NilsTheWizzard	
1988	1678796	VB.NET	Gundim	
1985	1014658	Java	ZZzzZZ	
1985	2093490	C++	paul.cabanes	
1985	3435874	Python3	AlexPisnoli	
1982	1304434	Java	MP-63	
1982	1600136	Python3	KrishanHarkhoe	
1981	2520384	C#	Rewdiz	
1980	2208319	C++	NilsIrl	
1980	3504513	C++		
1979	1118166	C#		
1978	3535045	Ruby	Wraithan	
1977	3136046	C++		
1975	3464784	C++	Saikuri	
1974	1712214	Javascript	_CP	
1973	1532819	Python3	allgoodnicknamesweretaken	
1973	1722979	Java	AndYouRy	
1973	1522923	Python3	Tear	
1972	154961	C#	[CPC]Foudge	
1970	1639378	Python3	NaNisTheLonliestNumber	
1967	3011669	C++	eXec	
1966	1147465	Java	jc_vzla	
1966	1509627	Javascript	puma17	
1964	638784	Python3	Yqnn	
1963	648751	Haskell	dabino	
1963	3730057	Python3	Maxtreme	
1962	1194054	C++	Bidembois	
1962	2978122	C#	NoobPlayer_CodinGame	
1962	3076711	C#	Sceurpien	
1962	3370098	C++	EwertonES	
1962	490588	Python3	Uljahn	
1962	3565783	C++		
1961	2121657	Python3	Tim-T	
