Comp.	Score	UserID	Lang	Pseudo	#optim,count=12314,time=2022-02-03 00:35:16
100	279210	4294830	Java	jannopet	
100	278850	1944142	C++	yakalir	
100	276840	4412366	C#	oblacek	
100	274960	828239	C#	[SG]Bisou	
100	273310	622213	Python3	Ornicare	
100	269430	1880197	C	bicklil	
100	269100	1845617	C++	Shingy	
100	268880	3938500	C	evanforCodin	
100	268850	1109979	C++	Gloopy	
100	268480	889789	C	Alain-Delpuch	
100	268010	3814292	Go	Beretta_Vexee	
100	264800	4370749	C#	EulPicard	
100	261530	4270131	C	Jack_HerRrer	
100	258950	3903847	C#	UnicornP	
100	256370	2315158	Java	luigi_gelato	
100	255000	1337609	C++	FlyingRaccoon	
100	254920	1290569	C#	a76a44	
100	254420	1140756	C++	BarbsMan	
100	254020	1611699	Java	EpiFlop	
100	254000	153678	Go	dknn	
100	253890	1883740	C++	kermo	
100	253340	1314316	C++	jolindien	
100	253110	1129777	C++	Velvacaine	
100	251430	893541	Java	wala	
100	250670	1779483	C#	h.otto	
100	250660	2500089	C++	Fantomat75	
100	250340	1186250	C#	Gabbek	
100	250300	4251195	C	Smelty	
100	249510	2178660	Javascript	monkeyD.Luffy	
100	248650	1566335	Java	BeardedWhale	
100	248580	862336	C++	Zaphus	
100	248270	1195031	C++	Nekto	
100	248180	4592681	C	Urutar	
100	247770	4029596	C	NaSaPaKri	
100	247300	3869042	C		
100	246320	1957077	Rust	domak	
100	246140	1314796	C#	JBence	
100	245760	1861258	Rust	Nazdhun	
100	245640	854952	Java	dolmen1234	
100	245600	1481544	C++	ZarthaxX	
100	245340	4187405	C	1cogniTAU	
100	243250	3344383	C++	Czejoo	
100	243100	888898	C++	helgui	
100	242510	1194057	C++	Altivar	
100	242380	820983	Javascript	Funnybobby	
100	241400	1309948	C++	Runner87	
100	241150	1449433	C++	Rolf	
100	241010	331880	Scala	Monstruo	
100	240890	1178276	Java	Jerome_95	
100	239940	2872886	C	Andy_F	
100	239630	2007852	Go	Zorg1	
100	239550	3230159	C	Phoniex__	
100	239160	2232811	Javascript	nargile	
100	238100	2579384	Rust	vlad107	
100	237350	4040124	C	Bycop	
100	237240	1718802	C	we3x	
100	236860	1186292	Rust	GLE	
100	236160	860404	C++	Vitruvius	
100	235020	2006324	C	Djangonaut	
100	234990	4537924	Rust	ArtesScytale	
100	234820	976712	C++	Ridakz	
100	234560	1831684	Java	dbf	
100	234480	1206537	C++	MadKnight	
100	234110	4320516	C	A-Wpro	
100	233830	528262	C	Niii	
100	232390	1082167	C++	Smatcher	
100	232230	154858	Javascript	VincentEuloge	
100	232140	4380449	Javascript	ValidityFail	
100	232020	1876212	C++	PFischbeck	
100	231710	3771159	C	tamahom	
100	231700	2536538	C	Pduhard-	
100	231360	1848459	Java	Velcoro	
100	231300	4453922	C	kariiii	
100	229430	155939	C	xylo	
100	229290	4148846	C	SkyWhait	
100	228940	3965226	C		
100	228670	4269627	C	Pec2K	
100	228460	2202751	C++	MacedoH	
100	227780	273876	C#	SirSushi	
100	227210	4328352	C++	Esael	
100	226740	1344487	Java	UnnamedCodinGamer	
100	226320	3844625	C++	surgutti	
100	226170	3978889	C	Zhansaya_M	
100	225880	1458246	C#	Httpsx	
100	224790	994468	C++	darkdieg	
100	224160	1300254	Python3	Escdemon	
100	224100	1757792	Java	oreshnik	
100	223780	4290907	C++	janm31415	
100	223630	3965155	C		
