# time=2019-09-07 08:00:59
# count=1525
#League	Score	UserID	AgentID	Lang	Pseudo
0	30.68	2995082	2132699	C#	Falcon9BFR
0	30.66	970195	317415	C++	Elbanono
0	30.5	3285586	2338714	Java	BaptisteL
0	30.45	2994972	2133481	C#	Dijkstra
0	30.44	1489865	1428969	Python	EricSMSO
0	30.39	2989437	2130267	C#	
0	30.3	1472023	508266	Ruby	dartwader
0	30.25	2990028	2132911	C#	torrent
0	30.24	1566335	1077414	Java	BeardedWhale
0	30.21	382244	252342	Java	Albatarm
0	30.17	1364613	471152	Java	DudeXIII
0	30.12	1555765	792907	C#	DewJunkie
0	29.9	795103	1696514	C#	JamsCenter
0	29.87	1464932	607557	Java	Tiramon
0	29.85	934381	2443137	Rust	PolyB
0	29.75	1126892	366796	Python	David.Lalancette
0	29.74	535961	2333827	Java	litel
0	29.72	1361840	2466740	Kotlin	KamilRajtar
0	29.72	1282167	1418563	Python3	Spaceninja
0	29.7	647359	281554	Java	NGU
0	29.68	889789	417046	C	Alain-Delpuch
0	29.67	1461531	1974828	Python3	AlexWilde
0	29.41	600997	250593	Python	mmi
0	29.31	369445	255573	Java	Yayatest
0	29.28	1479930	2246923	C++	LeRenard
0	29.27	1608197	900506	Perl	Luun
0	29.24	571075	247276	Haskell	surdus
0	29.21	1438036	783678	Java	Bubbly_Bee
0	29.2	2014685	2386494	Java	Colossus
0	29.19	753403	253752	PHP	bubu
0	29.17	272329	498106	Python3	Arglanir
0	29.16	788361	316335	C++	Bob
0	29.13	494104	249181	C++	Recar
0	29.09	1328101	1970901	Javascript	Riseven
0	29.08	1728288	1634056	C#	MOLP
0	29.04	1488729	748078	C++	samrrr
0	29.01	610890	276074	Javascript	Tock
0	28.98	329200	364358	PHP	BlitzProg
0	28.96	913697	575067	Java	Tsa6
0	28.94	826359	316265	Python3	Skywalker
0	28.93	2174831	2132868	C++	peterpol
0	28.92	1234947	787871	Java	kuro
0	28.88	1238934	572593	C++	accorp
0	28.87	703271	254117	Javascript	DrinkingBird
0	28.79	1546357	1604444	PHP	PascalClaes
0	28.76	1156314	1505052	Python3	duckspeaker
0	28.76	572189	255380	Python	Ludic
0	28.75	2113365	1448704	Java	Pascualino
0	28.74	1426548	809467	C++	MasterJos
0	28.74	1460864	576186	C++	Taliesin
0	28.73	2336652	1643072	Java	Syldup
0	28.71	1334496	1306308	Python	TmO
0	28.7	678820	259737	C#	Naimor
0	28.68	1854246	1389632	C++	Counterbalance
0	28.67	1285189	411416	Java	Minost
0	28.64	1332450	413158	Scala	PatrikBeck
0	28.62	284436	251471	Javascript	yitsushi
0	28.57	1049935	1849718	C++	Azkellas
0	28.57	1200869	1653682	C++	Bishop92
0	28.42	973040	1739064	C	papyjo
0	28.41	1422880	576514	C++	loginius
0	28.37	153810	255307	Java	Vrexu
0	28.34	366305	253318	C++	Mgayar
0	28.34	799457	256349	C	Cyrano2
0	28.3	153674	668045	C++	GQMP
0	28.2	1203167	656752	Python3	r3versi
0	28.14	1113076	455867	Python3	TestiePlayer
0	28.1	271097	255263	Java	SanduLungu
0	28.08	226925	370438	Javascript	SancheZZ
0	28.06	1209562	1661634	C++	JohnnyYuge
0	28.02	403821	253411	Python	chrisrdlg
0	28	806067	249903	C++	iN
0	27.98	1827247	1090743	C++	mmmd
0	27.89	2576701	2080647	Python3	LustOne
0	27.87	1716083	878715	PHP	Randex
0	27.85	1584802	885756	Python3	emh
0	27.82	1528929	799912	Java	Blackfich
0	27.78	3285774	2318328	Java	AyoubChoukri1
0	27.77	1346640	1230571	Java	floris
0	27.7	699115	314400	PHP	sjozsef
0	27.7	1392051	416483	C#	HaydenWilliamRead
0	27.68	920987	309924	Python3	redna70
0	27.62	1413330	576136	Java	
0	27.61	495478	255000	C#	rus
0	27.6	218189	459560	Python	[CG]Maxime
0	27.57	873958	667459	C#	cheeser
0	27.54	318943	368053	C++	skekses
0	27.53	615619	255138	C#	Palamyx
0	27.53	1476242	1221113	VB.NET	Txiwi
0	27.52	1485989	917941	Python3	ReActiveNZ
0	27.51	793429	259788	Java	SoEasy
0	27.51	1458992	495935	Python	tomo-otsuka
0	27.5	404560	1220425	Ruby	Uquu
0	27.5	389632	410624	Python	ma
0	27.48	1480501	1221019	C++	DaFish
0	27.46	654775	257355	Python3	PerfectSpaceEmperor
0	27.45	1134086	848651	C#	NODA
0	27.44	884069	314002	Python3	punxxy
0	27.44	186225	255827	Python3	bob1
0	27.42	368447	414980	C#	SylafrsOne
0	27.39	1927123	2326865	Python3	NetWarKing
0	27.38	1106797	1217542	Javascript	abossi
0	27.36	776091	256415	Ruby	billflinton
0	27.33	1811179	1674754	Java	Tetarus
0	27.33	1416725	618248	C	BayashiPascal
0	27.31	579894	570642	C++	Binarii
0	27.31	540182	255873	Go	karalabe
0	27.3	649634	253283	C++	bigredeyes
0	27.27	802230	252054	Java	Orabig
0	27.21	307013	593542	Python3	Elbarto
0	27.2	495384	300160	C#	Poledustaren
0	27.18	1384569	434519	PHP	Zayaec
0	27.17	154348	251499	C++	ProYd
0	27.15	2397540	1613345	Java	FrankT-Bag
0	27.13	1483365	643109	Python3	risko
0	27.13	1336138	412910	Python	wyrdoe
0	27.12	337327	1270374	Python3	Mathurin
0	27.06	2993393	2140900	C#	IHateCS
0	27.04	1988483	2263187	C#	Uhrond
0	27.03	904274	646186	Java	Zulkan
0	27.01	373834	249539	Java	Pirquessa
0	26.98	622674	259386	Javascript	Strat0
0	26.93	2989322	2132545	C#	DatUnicorn
0	26.92	1273026	382870	Python3	BenZubrow
0	26.91	588426	255333	C++	Jeff06
0	26.89	799653	254932	C#	Ionut
0	26.89	1251381	413865	Java	ZepHead
0	26.88	1647257	890741	C++	Chiraffollo
0	26.84	379413	252350	Java	Willim_1985
0	26.8	973234	570872	Java	adel
0	26.77	1740037	975823	Scala	ereiam
0	26.77	366755	247150	Java	BezrA
0	26.76	336685	413691	Scala	JulienBe
0	26.75	224676	255552	Java	Jin66
0	26.74	684930	247393	Java	Kangeyan
0	26.73	816776	274073	Perl	
0	26.73	2966330	2405596	Java	UlysseLhote
0	26.7	409330	251488	Java	Hillkorn
0	26.66	153851	254994	Java	DarzuL
0	26.62	838129	300382	C++	Aceforg
0	26.6	1029602	1735560	C	Potemkine
0	26.58	1287344	796134	Python3	Alshock
0	26.56	574656	256360	Python	dmpage
0	26.53	2164168	2119742	C++	amir11
0	26.51	1122412	463705	Java	TheNinja
0	26.5	1712214	903943	Javascript	_CP
0	26.48	587313	251405	C#	o4815162342
0	26.47	1110291	455430	C++	Winestone
0	26.44	997727	315039	Python3	Monolitum
0	26.42	2571540	1877678	Java	Nagatwin
0	26.41	204179	921581	Go	resistcorp
0	26.38	590875	1231587	Java	Ragusnik
0	26.37	1399382	2479510	C#	Regulus136
0	26.3	371603	308639	C++	martin
