League	Score	UserID	AgentID	Lang	Pseudo	#time=2019-09-07 11:49:13,count=85359
6	32.64	1675487	2214976	C	PED	
6	32.55	1687064	1868976	C++	JBoulic	
6	32.52	1818159	2088969	C++	JRFerguson	
6	32.46	1331444	1836383	C++	leglore	
6	32.39	966939	2267329	C++	Bleuj	
6	32.32	2480831	1900590	C#	mopozko	
6	32.1	425477	474267	Java	selslack	
6	31.83	1477622	1776954	C#	zrdon	
6	31.72	1680050	1606110	C++	Mms92	
6	31.7	3119894	2334336	C++	joleNeuNeu	
6	31.47	1427078	2218506	Java	ToshiTuringMachine	
6	31.45	1697989	2133668	C++	Necromar	
6	31.39	2473585	1930284	C#	Leoltron	
6	31.25	1335230	2046457	Java	jft63	
6	31.22	1515891	1778117	Java	ndc	
6	31.21	1554150	2114915	C#	failman	
6	31.2	1300254	1856905	C++	Escdemon	
6	31.18	1327028	579850	C++	FredericBautista	
6	31.18	238640	2459091	C#	saadliig	
6	31.11	3333754	2479021	C++	TchawLaPizze	
6	31.05	2219293	1628364	C++	DeWitt	
6	31.02	2254195	1775858	Java	BrunoFelthes	
6	30.93	1447873	599926	Scala	Hohol	
6	30.92	3319855	2345610	C#	Drobor	
6	30.9	2386035	2089940	C++	Samsonov	
6	30.87	1759839	2053164	Python3	matleg	
6	30.84	1109979	2427031	C++	Gloopy	
6	30.83	1321710	2346263	C++	Swagboy	
6	30.83	2980709	2180963	C++	ninnghazad	
6	30.81	1034635	1843421	C++	SlyB	
6	30.74	3436443	2473350	Python3	Mazelcop	
6	30.69	507342	2317189	C++	Laris	
6	30.67	1649376	792382	Javascript	Kujar	
6	30.67	1854246	2078100	C++	Counterbalance	
6	30.67	3406454	2461547	Python3	Wolfierce	
6	30.56	638784	2078607	C++	Yqnn	
6	30.56	1307473	2478334	C++	Evgenykz	
6	30.55	2585583	2357596	Rust	Hans-Peter-Ingo	
6	30.54	1814258	1776020	C#	AtrA	
6	30.53	1022925	2433006	C++	Adrien.	
6	30.48	1555142	2139518	C#	Thunderkill	
6	30.47	3076371	2358969	Java	Mehhh	
6	30.45	1069477	977939	C++	lematb	
6	30.4	1781686	1595272	C++	SpaceFlyer	
6	30.36	1110041	1479729	C#	Partybwal	
6	30.32	3076654	2405331	Python	bonebone	
6	30.3	1500515	2061743	C#	eulerscheZahl	
6	30.24	2164040	1648250	C++	Doodler	
6	30.12	3418599	2473661	C++	YvanHerreros	
6	30.11	1293010	1854312	C++	aLee	
6	30.06	1855354	1776310	C++	KiwiTae	
6	30.05	490588	1775291	Python	Uljahn	
6	30.05	1944142	2221128	C++	yakalir	
6	30.03	2077458	1770259	Java	Ragi	
6	30	3124873	2234399	Python3	Trafim	
6	29.99	925695	2219543	OCaml	Boulet	
6	29.99	3362602	2410672	C++	nulte	
6	29.95	1241062	1844589	Java	jbs	
6	29.95	889789	1775236	C	Alain-Delpuch	
6	29.83	1838549	2332072	C++	izik1	
6	29.81	1062962	1775256	C++	ArmandO.S.	
6	29.8	950512	2418123	C++	salim.aboubacar	
6	29.8	2771065	2061299	C++	JHBonarius	
6	29.67	1674752	924062	C++	lexXxel	
6	29.61	2864512	2117119	C++	kick_	
6	29.55	1414873	2257015	Python3	Volcomix	
6	29.53	2118893	1431435	Go	CWarner	
6	29.46	715431	2114947	Java	G3r0	
6	29.42	1436776	2201637	C++	BrainSolver	
6	29.31	2077064	2414114	Java	GamingKing	
6	29.26	1188212	580241	ObjectiveC	superredlark	
6	29.25	2130169	1642588	C++	CyberLemonade	
6	29.17	2164056	1648244	C++	CodeBullet	
6	29.14	1181685	2068992	Lua	dzik	
6	29.07	1497264	2059469	C++	zPIxel	
6	29.04	232528	2267244	C++	cegprakash	
6	29.04	2311105	2234405	C++	kovi	
6	29.02	2069141	2481503	C#	tomeko	
6	29	2666856	2171487	Python3	PaleBlueDot	
6	29	507383	472541	C#	Vadasz	
6	28.99	2238146	2161377	Java	stem	
6	28.99	1225196	969866	Python	Pepetroo	
6	28.99	1306541	2054695	C++	Steuh	
6	28.97	2424607	1647377	C++	TheNomad	
6	28.97	1572888	1779616	Python3	DirtyHarry	
6	28.93	1676711	1775623	Scala	Eeeval	
6	28.92	1611699	1776172	C++	EpiFlop	
6	28.91	1399382	897568	C#	Regulus136	
6	28.91	1666180	773594	Javascript	Vrumfon	
6	28.88	1589811	924974	Python3	imrel	
6	28.86	1518700	657070	C	Fuji	
6	28.85	1824968	1180170	Python3	PEPCSI1	
6	28.83	1800350	1100715	C	Micolino	
6	28.82	1864483	1127838	Java	Mistblinde	
6	28.8	2869956	2169470	Python3	Oho	
6	28.74	1213993	1209195	Python3	jjfPCSI1	
6	28.69	1775950	2482746	Python	PlikPlok	
6	28.65	1491995	2142442	C#	Tyir	
6	28.58	1552097	692007	C#	Dinnot	
6	28.53	1243876	799765	PHP	Hi-Low_World	
6	28.47	1436764	666120	Python3	Djuls-NYC	
6	28.47	2438065	2424076	Javascript	Wiljam	
6	28.44	1930944	1495021	Kotlin	Neige	
6	28.31	1550152	748277	Python3	flaks314	
6	28.27	1547267	1674358	C++	Wariie12	
6	28.26	1488131	1296947	Java	neph	
6	28.21	3318755	2357394	C++	ziobert	
6	28.21	2231695	2340899	Python3	Conrad_	
6	28.19	648751	486408	Haskell	dabino	
6	28.17	3075074	2222219	Ruby	RaceWinner	
6	28.17	2453853	1654913	Javascript	Jibboo	
6	28.15	2058158	2061691	C#	RolandKnight	
6	28.15	1858764	2006203	C++	vdevid	
6	28.14	1757792	1857178	Java	oreshnik	
6	28.1	2000889	1289550	C++	f4	
6	28.09	1841051	2125058	C++	Alpacah	
6	28.07	3305900	2437154	Python3	Egrace	
6	28.06	1105439	1949544	C++	Edrevan	
6	28.04	1755218	979169	C++	Valsor	
6	28.02	2300301	1869455	C#	DKC	
6	28.02	1050009	1495155	Python	wormball	
6	28.01	3322369	2342292	PHP	Mig75011	
6	28.01	1933887	1139887	Python3	Bougie	
6	27.95	1395632	495263	Clojure	kurie	
6	27.93	3243532	2311327	Java	teccles	
6	27.92	1025212	1840018	Java	Asterixk	
6	27.91	3213465	2307200	Python3	Gegene	
6	27.86	1173502	572381	Java	wolfpack	
6	27.86	2892654	2448274	Python3	rangler	
6	27.86	1475662	609654	C#	bolsilludo77	
6	27.85	1573471	2114689	C#	decompiled	
6	27.81	1652969	788687	C#	Berci79	
6	27.78	1792532	1868988	C#	Zanbez	
6	27.76	2076740	1955805	C++	It_potato	
6	27.7	1127783	480296	Python3	zouzou	
6	27.69	1734105	1776690	Python3	Bibou	
6	27.67	1368852	795607	C#	RayHidayat	
6	27.64	900129	1916488	C++	Julien_E	
6	27.62	421485	590553	C#	Faceless	
6	27.59	1490423	613081	C	shaman	
6	27.59	1785774	1080976	Python3	stork	
6	27.55	2421141	2451777	Python3	HomerS.	
6	27.53	886483	1513137	ObjectiveC	R4N4R4M4	
6	27.5	155881	2322285	PHP	Hevey	
6	27.48	1541804	836418	Java	michaldo	
6	27.47	1164242	502613	Java	Andry_	
6	27.47	2077805	2211261	C++	bamilan	
6	27.46	1827999	1210212	Python3	LeoMPCSI1	
6	27.42	1540394	1475804	C#	LVdA	
6	27.41	3086506	2206735	C++	KaisLadjemi	
6	27.31	813360	2235229	C++	Notinlist	
6	27.3	1508325	2090523	C#	meonester	
6	27.28	2996651	2141618	Python3	EDB	
6	27.28	1768304	1600681	Python3	Manu306	
6	27.27	1065845	1932482	Ruby	Oli8	
6	27.27	1703491	899131	Java	kojonkoski	
6	27.26	788361	1775172	C++	Bob	
6	27.26	1737246	945585	Java	Adam798	
6	27.25	2093060	1482602	Python3	OursDesCavernes	
6	27.25	2216956	1750881	Python3	TimDarcet	
6	27.24	1443095	2128872	Python3	Benamou	
6	27.21	2691049	2058666	Java	StefanH-ToliBoss	
6	27.2	1235498	612308	Java	Bouh	
6	27.19	1540478	1775208	C++	Tobou	
6	27.19	1796115	985704	Python	JeanR	
6	27.17	155896	1120167	PHP	gamoul	
6	27.14	3068306	2201496	Java	creder	
6	27.14	3305525	2324449	C#	StriderX	
