League	Score	UserID	AgentID	Lang	Pseudo	#time=2019-09-07 11:28:33,count=521
2	13.93	1529760	2312396	Python	contagious	
2	13.82	1333684	2418179	Javascript	MarcoFuschini	
2	13.77	254883	2425218	Kotlin	maksim	
2	13.76	2255187	2478093	Java	rom_02	
2	12.55	1875472	2341720	F#	BillBert	
2	9.63	3369530	2427975	Python3	vladimirkarmanov	
2	9.06	2100572	2439916	Python3	sirsatan	
2	6.42	1738638	2430962	C++	ThibaultLasou	
2	6.06	1811179	2313635	Java	Tetarus	
2	6.06	2904278	2318829	Java	oroborous	
2	6.05	3440999	2470250	Python3	C0deDuck	
2	6.05	2899382	2313760	Java	HermyKa	
2	6.05	3189340	2319397	PHP	polonais45	
2	6.02	2321922	2412306	Javascript	george_biburli	
2	5.99	873958	2317280	C#	cheeser	
2	5.95	1771912	2478131	Java	Drolow	
1	16.31	2848167	2405565	Python3	drasierr	
1	15.53	399564	2327981	Haskell	wizzup	
1	15.14	2863848	2347179	C++	emora86	
1	15.12	2836367	2347184	C++	UgniusBartusevicius	
1	14.69	2879108	2353616	C++	Maybach420	
1	14.68	3374301	2418702	Java	294892949	
1	14.67	2571052	2353602	C++	Shumacheris	
1	14.66	2836246	2353291	C++	Styvas	
1	14.66	2470469	2405581	Python3	UniRocx	
1	14.66	1642182	2313899	Java	Fosfen	
1	14.65	3167344	2405575	Python3	LysH	
1	14.64	2473585	2434810	C#	Leoltron	
1	14.64	2927600	2347175	C++	Tenfas	
1	14.62	2836253	2359700	C++	kotletas	
1	14.6	2863843	2346901	C++	BlackWind	
1	14.58	1059313	2314557	C++	_SERGE_	
1	14.55	1169166	2326704	C	Quinaz	
1	14.54	2831118	2405557	Python3	nakib	
1	14.51	3335431	2407862	Java	sanjaybajnath	
1	14.47	2706758	2319959	C#	Notsufer	
1	14.46	2836264	2353298	C++	M0N1K4	
1	14.44	1676581	2333718	Python3	maikemeier	
1	14.41	2836258	2359227	C++	Deimante	
1	14.4	1105782	2327511	C#	RubenFilipe	
1	14.4	1217699	2313750	Python3	Flying_Dad	
1	14.39	1293284	2455136	Python3	NaraJeamfry	
1	14.37	2836254	2369196	C++	kjho	
1	14.35	3370810	2409015	Java	GiGGa	
1	14.35	2836378	2347185	C++	Audrius1	
1	14.34	3379042	2438772	Java	Xifly	
1	14.33	2837482	2359698	C++	xcxcx	
