Score	UserID	Pseudo	#golf,count=4059,time=2020-04-21 03:03:54
238	960454	luc4sdreyer	
238	1373115	prnsml	
238	903179	maksmas	
239	1076425	Loicfr	
239	1454207	Didou	
239	1357614	OptiPanda	
240	890123	Nasire	
240	1086230	Iltis	
240	558770	lD	
241	1610632	sebd	
241	2243940	Revenge911	
241	1056440	TurboGamer	
241	1723892	Kuriet	
242	153527	Amendil	
242	1864483	Mistblinde	
242	820000	ValGrowth	
243	1129906	PaulEdouard	
243	1107465	MUnicorn	
243	2309429	Tristel	
245	864071	Basecrosser	
245	614502	NoNiMad	
246	1121658	Plinz	
246	1218159	Vol	
247	840350	Anupam	
247	827332	Metalshoot	
247	2501529	xinri	
248	937072	PEB	
248	876720	Jennydjen	
248	1258760	Matzilla	
248	1838549	izik1	
248	3304110	MathieuSoysal	
249	999186	Bilgetz	
250	961859	Relon	
250	1269827	bcourtine	
250	712421	Kiwi	
250	1766582	smugiss	
251	706692	alexhap	
251	937819	RNO	
251	2508635	hemhel	
252	1193408	DoubleZeroSteph	
252	1348523	Numb_	
253	774387	DrunkenMonkey	
253	1434908	MarcelM	
253	2033641	subastien	
253	2594360	Nataris	
254	153082	Kain	
254	1934314	Leech2120	
254	1947375	DeepThought	
254	2178794	Unihedron	
255	1127048	EricQuiroz	
255	1081041	SoldierKB	
255	155008	Majavar	
255	1753925	Wildcat	
255	1229845	Jipe	
255	3216070	TaoJonesIndex	
255	2984118	aplq	
256	887560	stok	
256	1046150	DavidLu	
256	1033539	benediktwerner	
256	1303696	ral	
256	1701924	Kethryes	
256	2290633	field3	
256	1505954	Salintas	
256	3207204	RomanceDawn	
257	892993	Karolis.Valiulis	
257	1195856	daifei4321	
257	3471804	S.L	
257	3657691	D3structor	
258	389632	ma	
258	1120620	Cybermaxke	
258	2420013	Zoli007	
258	3587644	JordinM	
259	1032334	lukasz.garb	
259	368533	Gato1	
259	1139274	SylvainD	
259	1727486	hahnjo	
259	1908920	cubikus	
259	874023	meira	
259	2474401	shiroverlord	
259	154806	piw4i	
259	2797964	BorisH	
260	1229266	wizard	
260	2106827	shangshandaye	
260	3503413	Rock_Timmy1	
261	953871	Julienng	
261	965660	Kipras	
261	879073	Ealhad	
261	1116991	Luisnux	
261	1204016	major.zero	
261	482543	seshoumara	
261	1012020	Markusha	
261	1528116	Cookieman	
261	1687754	cg123	
261	1355842	slaghn	
261	1018437	dubicube	
262	987916	chr-m	
262	1334577	ForTeaToo	
262	773811	szoti	
262	2059321	GaelP	
262	2163844	Halimus	
262	1703957	RockNTroll	
262	2525854	AlexRacer	
263	272465	seyguai	
263	952784	Simon21	
263	1792532	Zanbez	
263	709490	Sinlepuissant	
264	1408492	Ptit-g	
264	1235498	Bouh	
264	2784574	MrRho	
265	941704	Norgul	
265	1077382	EsePeasoDeGabi	
265	1142870	soignaig	
265	875113	Idohx	
265	1320220	Proteus	
265	1495491	[Random]-J3ff3z	
265	3651825	ctwins95	
265	893541	wala	
266	1054752	Garek	
266	891719	Gregorio21	
266	1706969	Zandehr	
266	1847299	GaboSampaio	
266	3005817	Vive	
267	426227	Mike6	
267	1016576	whoopwh00p	
267	1713230	Alexiooo	
267	2254195	BrunoFelthes	
268	1100482	Steve989	
268	743067	digitaljoel	
268	1162999	Vaekor	
268	3341774	redhead911	
